Agent 1,Agent 2,Agent 3,Agent 4,Agent 5
500.0,12.0,500.0,41.0,89.0
500.0,54.0,500.0,79.0,101.0
500.0,11.0,500.0,99.0,94.0
500.0,11.0,500.0,120.0,35.0
500.0,18.0,500.0,92.0,38.0
500.0,17.0,500.0,288.0,64.0
500.0,20.0,500.0,213.0,44.0
500.0,46.0,500.0,74.0,104.0
500.0,13.0,500.0,82.0,53.0
340.0,19.0,500.0,255.0,113.0
500.0,17.0,500.0,283.0,59.0
479.0,16.0,500.0,82.0,71.0
256.0,12.0,500.0,139.0,20.0
479.0,14.0,500.0,37.0,121.0
299.0,17.0,500.0,54.0,22.0
272.0,12.0,500.0,149.0,33.0
399.0,32.0,500.0,146.0,60.0
500.0,11.0,500.0,126.0,72.0
500.0,26.0,500.0,115.0,111.0
454.0,28.0,500.0,159.0,61.0
500.0,12.0,500.0,93.0,93.0
500.0,16.0,500.0,73.0,118.0
500.0,21.0,293.0,201.0,97.0
500.0,23.0,146.0,160.0,189.0
500.0,32.0,500.0,164.0,86.0
500.0,18.0,309.0,167.0,114.0
500.0,46.0,500.0,343.0,91.0
500.0,60.0,500.0,223.0,29.0
472.0,26.0,500.0,289.0,96.0
500.0,18.0,500.0,253.0,123.0
500.0,48.0,500.0,39.0,191.0
500.0,15.0,500.0,279.0,15.0
500.0,14.0,500.0,181.0,55.0
500.0,12.0,500.0,279.0,70.0
500.0,28.0,500.0,278.0,99.0
500.0,23.0,500.0,55.0,50.0
500.0,20.0,500.0,47.0,67.0
500.0,25.0,500.0,131.0,104.0
500.0,13.0,500.0,142.0,111.0
500.0,24.0,500.0,228.0,79.0
500.0,30.0,500.0,281.0,27.0
351.0,13.0,500.0,398.0,66.0
500.0,13.0,500.0,167.0,77.0
500.0,13.0,500.0,377.0,164.0
420.0,23.0,500.0,309.0,130.0
500.0,21.0,500.0,35.0,19.0
500.0,23.0,500.0,195.0,43.0
500.0,24.0,500.0,167.0,16.0
500.0,36.0,500.0,232.0,66.0
500.0,15.0,500.0,67.0,19.0
500.0,12.0,500.0,311.0,215.0
500.0,62.0,500.0,91.0,81.0
500.0,51.0,500.0,218.0,93.0
500.0,16.0,500.0,142.0,127.0
500.0,13.0,500.0,74.0,113.0
177.0,17.0,500.0,20.0,177.0
500.0,17.0,500.0,264.0,193.0
500.0,17.0,500.0,167.0,92.0
500.0,72.0,500.0,374.0,199.0
500.0,12.0,500.0,162.0,80.0
500.0,15.0,500.0,350.0,164.0
500.0,12.0,500.0,153.0,100.0
228.0,16.0,500.0,303.0,57.0
500.0,14.0,500.0,230.0,163.0
410.0,11.0,500.0,400.0,187.0
500.0,30.0,500.0,179.0,119.0
500.0,36.0,500.0,194.0,17.0
500.0,14.0,500.0,283.0,60.0
500.0,29.0,500.0,56.0,117.0
500.0,15.0,500.0,241.0,86.0
500.0,23.0,500.0,85.0,75.0
500.0,20.0,500.0,103.0,223.0
329.0,12.0,500.0,41.0,175.0
500.0,14.0,500.0,211.0,106.0
500.0,26.0,500.0,163.0,143.0
215.0,39.0,500.0,160.0,61.0
500.0,24.0,500.0,254.0,196.0
327.0,35.0,500.0,171.0,212.0
286.0,47.0,500.0,65.0,44.0
384.0,14.0,500.0,322.0,56.0
489.0,50.0,500.0,300.0,108.0
500.0,14.0,500.0,451.0,77.0
500.0,41.0,500.0,373.0,190.0
500.0,26.0,500.0,294.0,111.0
500.0,56.0,500.0,265.0,59.0
500.0,30.0,500.0,26.0,109.0
500.0,42.0,500.0,500.0,105.0
352.0,21.0,500.0,241.0,118.0
500.0,9.0,500.0,199.0,101.0
500.0,44.0,500.0,207.0,159.0
500.0,20.0,500.0,131.0,94.0
